2021/05/18 14:17:15 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:17:15 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:17:15 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:17:36 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:17:36 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:18:15 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:18:15 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:18:52 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:19:12 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:19:12 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:19:34 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:19:54 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:19:54 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:19:54 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:20:15 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:20:15 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:20:35 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:21:16 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:21:37 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:21:55 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:21:55 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:21:55 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:22:14 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:22:14 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:22:34 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:22:53 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:23:11 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
